id,shopName,ownerName,phone,address,gpsLatitude,gpsLongitude,creditBalance,isActive,createdAt,updatedAt,externalId,routeName
46,ANITHA SUPER MARKET THACHAI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
47,ANITHA TEA STALL JUNCTION(ANIL STORE OPP),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
48,ANNAI COOLDRINKS(NEW BUS STAND START),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
49,ANNAI STORE(THACHAINALLUR),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
50,"ANNAI TEA STALL(KURICHI ROAD, MELAPALAYAM)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
51,ANNALAKSMI FRUITS SIVALAPERI ROAD,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
52,APPA TEA STALL HIGHGROUND,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
53,APSARA SNACKS(SANKAR NAGAR),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
54,"ARASAN SNACKS(SANKAR NAGAR, RAJAVALIPURAM)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
55,ARCHANA CAFE MADURAI ROAD,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
56,ARUL SELVAN BOOPAN STORE(RASTA,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
57,ARULJOTHI TEA STALL REDDIARPATTI,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
58,ARUNACHALAM STORE THENKALAM ROAD SRINAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
59,"ARYA COFFEE KASI VILAS OPP, TOWN",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
60,ASIR KARUPATTI COFFEE(OPP PSS THEATRE),,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
61,ASLAM STORE SANKAR NAGAR,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
62,ASM SUBBIAH,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
63,"ATCHAYA HOTEL BHAVAN(V.M CHATRAM, OPPOSITE LAKSHMI MAHAL)",,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
64,ATCHAYA TEA CORNER VM CHATRAM KTC NAGAR BRIDGE,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
65,ATHISAYARAJ STORE THIRUCHENDUR ROAD,,,,,,0.0,,2026-02-14T13:14:08.594382,2026-02-14T13:14:08.594382,,
